QTCP Werner window-size and Werner-parameter update.
Default simulation parameters are defined in WINDOW_UPDATE_DEFAULT_CASE in this script.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 3 / ( n + 50) ^ 0.7
  delta(n) = 0.05 / (n + 50) ^ 0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  98 | 0.090769 | 0.023628 |  29.876640 |     30 | 0.000001 | 2.400000 | 0.980000 | 0.845000 | 1.025000 |  -7.618014 |      196 |    795 |     569 |  30.005532 | 0.000001
  99 | 0.090342 | 0.023604 |  30.005532 |     31 | 0.000001 | 2.400000 | 0.890000 | 0.915000 | 0.940000 |  -1.059127 |      178 |    795 |     586 |  30.141949 | 0.000001
 100 | 0.089920 | 0.023581 |  30.141949 |     31 | 0.000001 | 2.400000 | 0.800000 | 0.995000 | 0.865000 |   5.512988 |      160 |    779 |     588 |  30.285821 | 0.495730
 101 | 0.089503 | 0.023557 |  30.285821 |     31 | 0.495730 | 2.400000 | 3.685000 | 4.025000 | 3.295000 |  15.494209 |      737 |   1335 |     567 |  30.170810 | 0.999999
 102 | 0.089090 | 0.023534 |  30.170810 |     31 | 0.999999 | 2.400000 | 0.000000 | 0.005000 | 0.535000 | -22.520727 |        0 |      1 |       1 |  30.384627 | 0.000001
 103 | 0.088682 | 0.023511 |  30.384627 |     31 | 0.000001 | 2.400000 | 1.100000 | 1.030000 | 0.835000 |   8.294082 |      220 |    836 |     585 |  30.499914 | 0.735540
 104 | 0.088279 | 0.023488 |  30.499914 |     31 | 0.735540 | 2.400000 | 4.810000 | 4.670000 | 5.125000 |  -9.685889 |      962 |   1340 |     355 |  30.287162 | 0.000001
 105 | 0.087880 | 0.023465 |  30.287162 |     31 | 0.000001 | 2.400000 | 0.860000 | 0.960000 | 0.860000 |   4.261669 |      172 |    788 |     585 |  30.422497 | 0.374516
 106 | 0.087485 | 0.023442 |  30.422497 |     31 | 0.374516 | 2.400000 | 2.810000 | 2.910000 | 2.625000 |   6.078740 |      562 |   1175 |     582 |  30.386628 | 0.906315
 107 | 0.087095 | 0.023420 |  30.386628 |     31 | 0.906315 | 2.400000 | 1.935000 | 1.515000 | 2.425000 | -19.427922 |      387 |    475 |      84 |  30.427127 | 0.000001
